student_id,question_id,ability,difficulty,answered_correctly
967,40,-0.320325879,1.5727927251217235,FALSE
135,2,-2.897524418,-1.920776692,FALSE
553,18,-1.207799833,-0.482900724,FALSE
564,29,-2.012802116,0.3602240644577407,FALSE
449,42,0.33215797517091794,1.2110658410311694,FALSE
300,44,0.28880710228199236,1.5456498421508513,FALSE
34,42,-0.756414014,1.2110658410311694,FALSE
150,12,1.4717157424752205,-1.353509432,TRUE
291,37,-1.702322505,0.7457448651100267,FALSE
950,40,-1.164241818,1.5727927251217235,FALSE
218,18,1.495063001735972,-0.482900724,TRUE
659,35,-0.70341542,1.257043983523915,FALSE
340,15,3.960831886493532,-0.735086496,TRUE
777,13,1.269137084377083,-0.992200366,TRUE
718,30,0.48442311061660304,0.9529788135005979,FALSE
591,4,2.203117624493155,-1.493058251,TRUE
294,23,-1.507033818,-0.233550055,FALSE
156,11,-0.841280174,-0.500169793,FALSE
583,19,4.147673045956129,-0.147794374,TRUE
538,25,0.21187060438221356,0.22703748175873567,FALSE
561,38,0.9470277379091875,1.4040421045647595,FALSE
487,37,-2.147167141,0.7457448651100267,FALSE
856,29,-1.764513924,0.3602240644577407,FALSE
703,33,-2.698785059,0.9042782405648162,FALSE
711,32,-0.955786569,0.6215775891734262,FALSE
533,23,5.889554468311595,-0.233550055,TRUE
418,18,-2.560207497,-0.482900724,FALSE
787,12,-2.935959862,-1.353509432,FALSE
278,4,2.0747018419102607,-1.493058251,TRUE
664,26,3.165218075740242,0.11358247325044898,TRUE
398,11,0.022779613535902188,-0.500169793,TRUE
843,29,0.36826006996112204,0.3602240644577407,TRUE
620,5,-2.165681616,-1.232535744,FALSE
305,10,1.3297157906112742,-0.73044141,TRUE
870,12,0.18447722491003649,-1.353509432,TRUE
44,36,0.049076405144442004,1.0699160541064936,FALSE
178,39,-2.4650201,1.1636307929604386,FALSE
983,31,-2.267708922,0.5839399332554593,FALSE
887,7,-0.040135711,-1.214317852,TRUE
352,36,-4.255265928,1.0699160541064936,FALSE
521,5,1.762417501,-1.232535744,TRUE
435,31,1.6078826387316623,0.5839399332554593,TRUE
994,14,1.8218326298659033,-0.874026627,TRUE
472,13,-1.735654091,-0.992200366,FALSE
944,39,-4.637448686,1.1636307929604386,FALSE
301,38,1.0647415712371942,1.4040421045647595,FALSE
548,18,1.7647740008450052,-0.482900724,TRUE
866,41,0.6764152001456184,1.4690580457400677,FALSE
19,24,-2.163418811,-0.319204562,FALSE
524,7,0.12616736745529455,-1.214317852,TRUE
871,19,-0.470458393,-0.147794374,FALSE
340,36,3.960831886493532,1.0699160541064936,TRUE
339,23,0.11709995021294874,-0.233550055,TRUE
406,16,-1.065025568,-0.880223853,FALSE
27,28,-0.482024932,-0.008786664,FALSE
580,4,0.22794733629134376,-1.493058251,TRUE
495,29,-1.086151239,0.3602240644577407,FALSE
410,4,-0.665288852,-1.493058251,TRUE
603,15,0.5402241590561216,-0.735086496,TRUE
864,27,-1.778478196,0.29553922230822394,FALSE
585,15,4.351238911625627,-0.735086496,TRUE
423,26,0.34720260665018543,0.11358247325044898,TRUE
46,14,-2.334269896,-0.874026627,FALSE
379,38,-0.985873145,1.4040421045647595,FALSE
85,10,0.5183390814436158,-0.73044141,TRUE
763,11,-5.624607777,-0.500169793,FALSE
233,33,-3.374732932,0.9042782405648162,FALSE
711,9,-0.955786569,-0.870724786,FALSE
808,16,-2.359895732,-0.880223853,FALSE
308,10,3.3129221176701917,-0.73044141,TRUE
209,1,-3.491533546,-2.157521679,FALSE
298,6,1.0115031984179483,-1.717550796,TRUE
118,29,0.11167974890503055,0.3602240644577407,FALSE
551,34,-3.785137887,0.48038672666148463,FALSE
143,12,1.1482897864402377,-1.353509432,TRUE
907,32,-0.305319904,0.6215775891734262,FALSE
677,6,-1.894751863,-1.717550796,FALSE
660,24,-1.427735423,-0.319204562,FALSE
271,4,-1.293782313,-1.493058251,TRUE
309,13,1.2854801127113904,-0.992200366,TRUE
711,21,-0.955786569,-0.374363072,FALSE
349,32,0.14821496648783694,0.6215775891734262,FALSE
531,30,-0.060771484,0.9529788135005979,FALSE
796,4,1.2128401692234778,-1.493058251,TRUE
622,21,-2.56962143,-0.374363072,FALSE
917,32,-2.017649128,0.6215775891734262,FALSE
835,42,-0.571898923,,FALSE
6,18,1.9608018824556641,-0.482900724,TRUE
455,22,-1.561864464,0.13139210128656456,FALSE
38,34,4.105079122027298,0.48038672666148463,TRUE
714,22,-1.331353042,0.13139210128656456,FALSE
445,16,-0.70518312,-0.880223853,TRUE
960,23,-1.13949788,-0.233550055,FALSE
584,12,0.31034594130083615,-1.353509432,TRUE
741,21,,-0.374363072,TRUE
595,14,-0.714179928,-0.874026627,TRUE
436,41,-4.392464348,1.4690580457400677,FALSE
491,35,-0.504689444,1.257043983523915,FALSE
146,14,-0.899592969,-0.874026627,FALSE
202,25,1.056049901797674,0.22703748175873567,TRUE
715,20,-1.885122334,-0.295328205,FALSE
95,7,-0.72368741,-1.214317852,TRUE
315,31,-1.168591524,0.5839399332554593,FALSE
586,1,-0.273394117,-2.157521679,TRUE
314,44,1.9244753146270448,1.5456498421508513,TRUE
450,25,-1.117252399,0.22703748175873567,FALSE
42,17,-2.415691659,-0.524006043,FALSE
525,2,2.708707586704339,-1.920776692,TRUE
222,29,2.6124329911185318,0.3602240644577407,TRUE
972,12,0.052785789,-1.353509432,TRUE
778,21,0.17332073896627653,-0.374363072,TRUE
627,7,2.164974339538638,-1.214317852,TRUE
518,21,-2.138811838,-0.374363072,FALSE
574,39,0.8307033926999134,1.1636307929604386,FALSE
428,16,0.9208420295790916,-0.880223853,TRUE
392,9,1.0668141723737528,-0.870724786,TRUE
539,26,-0.309457841,0.11358247325044898,FALSE
111,28,-1.790730181,-0.008786664,FALSE
17,36,1.4208584169456469,1.0699160541064936,TRUE
25,9,-2.602047728,-0.870724786,FALSE
969,14,1.9741442353393923,-0.874026627,TRUE
943,35,0.955405033,1.257043983523915,FALSE
139,36,0.48438281279810463,1.0699160541064936,FALSE
147,45,0.6948213002215805,1.1726564086836633,FALSE
203,23,-1.363035129,-0.233550055,FALSE
488,28,-3.371410952,-0.008786664,FALSE
123,23,-2.730279018,-0.233550055,FALSE
687,21,1.1022040320947681,-0.374363072,TRUE
811,18,-2.684836321,-0.482900724,FALSE
33,31,3.889485397433206,0.5839399332554593,TRUE
501,44,-2.111640626,1.5456498421508513,FALSE
713,32,-0.83720934,0.6215775891734262,FALSE
195,36,2.470459230787049,1.0699160541064936,TRUE
746,28,-3.412468389,-0.008786664,FALSE
892,45,-3.679043401,1.1726564086836633,FALSE
147,9,0.6948213002215805,-0.870724786,TRUE
814,42,3.692264474915013,1.2110658410311694,TRUE
920,29,1.271997383738327,0.3602240644577407,TRUE
637,12,-4.209825452,-1.353509432,FALSE
146,31,-0.899592969,0.5839399332554593,FALSE
686,4,-3.010177078,-1.493058251,FALSE
926,38,-0.250172737,1.4040421045647595,FALSE
327,32,-1.762049009,0.6215775891734262,FALSE
112,23,-2.062250695,-0.233550055,FALSE
689,31,3.368171893164759,0.5839399332554593,TRUE
209,27,-3.491533546,0.29553922230822394,FALSE
276,19,0.015713418487362858,-0.147794374,TRUE
548,35,1.7647740008450052,1.257043983523915,TRUE
42,31,-2.415691659,0.5839399332554593,FALSE
435,26,1.6078826387316623,0.11358247325044898,TRUE
664,29,3.165218075740242,0.3602240644577407,TRUE
269,34,5.395103189643472,0.48038672666148463,TRUE
851,28,1.8503067235994828,-0.008786664,TRUE
749,2,-2.803806747,-1.920776692,FALSE
929,41,-0.445127334,1.4690580457400677,FALSE
539,42,-0.309457841,1.2110658410311694,FALSE
636,12,2.1279170533020237,-1.353509432,TRUE
102,25,-1.01608351,0.22703748175873567,FALSE
781,31,2.9963619092596305,0.5839399332554593,TRUE
959,32,-3.801113266,0.6215775891734262,FALSE
992,41,-4.679273209,1.4690580457400677,FALSE
130,16,-1.79380982,-0.880223853,FALSE
427,34,1.7845107590794322,0.48038672666148463,TRUE
54,37,0.4646699850204426,0.7457448651100267,FALSE
905,18,-0.242737205,-0.482900724,TRUE
